City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,sidi ifni,29.3797,-10.173,25.65,25,99,9.13,MA,1707887861
358,yeed,4.55,43.0333,26.67,56,44,8.62,SO,1707887862
359,yaren,-0.5472,166.916,26.95,81,100,2.84,NR,1707887863
360,pokhara,28.2333,83.9833,20.5,19,99,3.29,NP,1707887584
361,daru,-9.0763,143.2092,29.7,79,73,4.19,PG,1707887865
362,kittila,67.6647,24.8936,-20.92,77,0,2.06,FI,1707887866
363,staunton,38.1496,-79.0717,3.15,58,0,2.57,US,1707887868
364,hami,42.8,93.45,0.38,27,0,2.51,CN,1707887868
365,martil,35.6166,-5.2752,15.98,88,100,4.12,MA,1707887869
366,poxoreo,-15.8372,-54.3892,24.19,74,67,1.51,BR,1707887871
367,takoradi,4.8845,-1.7554,27.52,89,17,2.86,GH,1707887872
368,highfields,-27.4518,151.9463,24.64,79,80,0.77,AU,1707887873
369,kourou,5.1552,-52.6478,27.03,82,92,3.99,GF,1707887874
370,zyryanskoye,56.8306,86.6258,-7.83,83,100,7.13,RU,1707887875
371,ust'-kut,56.7938,105.7672,-13.94,82,100,3.16,RU,1707887801
372,port hedland,-20.3167,118.5667,32.03,66,21,7.72,AU,1707887877
373,skopin,53.8249,39.5505,-10.99,88,100,5.72,RU,1707887878
374,hovd,48.0056,91.6419,-11.26,46,48,1.91,MN,1707887714
375,lagos,6.5833,3.75,25.76,96,2,1.56,NG,1707887700
376,yulinshi,38.2906,109.7494,2.07,23,100,7.88,CN,1707887803
377,dikwa,12.024,13.9165,20.68,56,3,3.47,NG,1707887882
378,sisimiut,66.9395,-53.6735,-20.84,70,10,4.87,GL,1707887883
379,chui,-33.6971,-53.4616,17.71,71,100,2.87,UY,1707887884
380,veinticinco de mayo,-35.4323,-60.1727,12.19,79,0,2.86,AR,1707887885
381,hadibu,12.65,54.0333,25.33,70,63,4.64,YE,1707887886
382,balnearia,-31.0088,-62.6673,15.53,52,10,3.04,AR,1707887887
383,kerikeri,-35.2268,173.9474,23.28,62,2,0.89,NZ,1707887888
384,siwa oasis,29.2041,25.5195,11.02,76,93,3.49,EG,1707887889
385,kapuskasing,49.4169,-82.4331,-19.0,84,75,1.54,CA,1707887890
386,udachny,66.4167,112.4,-29.02,94,100,2.6,RU,1707887891
387,hays,30.0502,-98.0336,9.56,76,40,3.87,US,1707887892
388,spanish wells,26.323,-81.7957,13.26,59,0,2.57,US,1707887893
389,sedrata,36.1287,7.5338,5.41,88,1,1.85,DZ,1707887894
390,bandar labuan,5.2888,115.2692,30.2,62,20,3.6,MY,1707887895
391,nuuk,64.1835,-51.7216,-11.66,79,1,9.77,GL,1707887600
392,victoria,22.2855,114.1577,22.73,75,79,4.02,HK,1707887840
393,san luis de la loma,17.2706,-100.8939,23.79,70,16,1.49,MX,1707887898
394,naryshkino,52.9678,35.7268,-2.68,97,100,5.66,RU,1707887899
395,papao,-17.75,-149.55,27.82,71,100,13.83,PF,1707887900
396,amahai,-3.3333,128.9167,30.04,64,100,0.44,ID,1707887782
397,salalah,17.0151,54.0924,25.05,61,75,1.54,OM,1707887904
398,manay,7.215,126.5397,28.74,69,6,5.52,PH,1707887905
399,cornwall,45.0181,-74.7281,-6.02,79,100,7.2,CA,1707887639
400,laurentides,46.4334,-74.9826,-11.27,83,96,4.63,CA,1707887907
401,as sulayyil,20.4607,45.5779,15.14,37,0,5.19,SA,1707887907
402,geneina,13.45,22.45,18.57,13,1,3.58,SD,1707887908
403,suva,-18.1416,178.4415,30.71,74,75,2.57,FJ,1707887909
404,ciudad bolivar,8.1222,-63.5497,27.76,61,96,5.8,VE,1707887911
405,zinjibar,13.1287,45.3807,25.43,78,28,8.27,YE,1707887911
406,hopewell,37.3043,-77.2872,1.38,81,3,2.68,US,1707887912
407,lodwar,3.1191,35.5973,30.93,36,93,3.85,KE,1707887913
408,pisco,-13.7,-76.2167,23.03,83,0,4.12,PE,1707887914
409,selfoss,63.9331,-20.9971,-10.53,85,16,2.61,IS,1707887915
410,geraldton,-28.7667,114.6,43.23,46,0,9.26,AU,1707887916
411,fort-shevchenko,44.5086,50.263,9.49,58,100,2.98,KZ,1707887917
412,tual,-5.6667,132.75,28.6,77,87,7.63,ID,1707887918
413,ranot,7.7777,100.3213,28.72,73,13,7.8,TH,1707887919
414,kita,13.0349,-9.4895,24.18,11,76,1.52,ML,1707887920
415,al jawf,29.5,38.75,14.66,32,68,3.69,SA,1707887921
416,pesqueira,-8.3578,-36.6964,19.98,95,90,1.32,BR,1707887922
417,pinas,-3.6667,-79.65,19.54,91,83,1.48,EC,1707887923
418,morant bay,17.8815,-76.4093,25.79,87,59,3.3,JM,1707887924
419,timiryazevskoye,56.49,84.8769,-6.34,62,100,6.94,RU,1707887925
420,malindi,-3.2175,40.1191,27.22,76,93,3.54,KE,1707887927
421,puerto deseado,-47.7503,-65.8938,19.33,41,0,3.36,AR,1707887928
422,kalmunai,7.4167,81.8167,27.95,78,84,6.7,LK,1707887929
423,howard springs,-12.497,131.047,30.84,75,94,4.33,AU,1707887930
424,cabo san lucas,22.8909,-109.9124,19.23,61,100,1.34,MX,1707887727
425,koh kong,11.6175,102.9806,30.36,53,7,3.34,KH,1707887932
426,fuyuan,46.4333,127.0833,-5.23,83,100,5.28,CN,1707887933
427,vadso,70.0744,29.7487,-11.91,79,20,11.83,NO,1707887934
428,acajutla,13.5928,-89.8275,26.35,65,23,3.21,SV,1707887935
429,nikolayevsk-on-amure,53.1406,140.73,-13.37,72,100,1.72,RU,1707887937
430,celestun,20.8667,-90.4,19.93,76,0,5.28,MX,1707887938
431,petropavlovsk-kamchatsky,53.0452,158.6483,-12.53,68,75,1.34,RU,1707887939
432,sayat,38.7839,63.8803,14.91,29,10,8.5,TM,1707887940
433,teknaf,20.8624,92.3058,28.08,32,87,3.76,BD,1707887941
434,punta del este,-34.9667,-54.95,16.63,74,40,1.79,UY,1707887942
435,cianorte,-23.6633,-52.605,22.75,84,99,0.7,BR,1707887943
436,zgurovka,50.5028,31.7849,5.38,93,100,2.76,UA,1707887944
437,yelwa,8.8333,9.6333,25.59,9,100,3.34,NG,1707887945
438,north platte,41.1239,-100.7654,-2.06,69,0,0.89,US,1707887947
439,demak,-6.8909,110.6396,29.98,70,36,2.31,ID,1707887948
440,alness,57.696,-4.2551,1.28,92,93,1.91,GB,1707887949
441,riyadh,24.6877,46.7219,15.08,55,31,5.69,SA,1707887892
442,scornicesti,44.5667,24.55,4.76,80,90,2.55,RO,1707887951
443,santos reyes nopala,16.1092,-97.1561,20.63,89,1,1.56,MX,1707887952
444,fort st. john,56.2499,-120.8529,-7.06,63,20,4.12,CA,1707887953
445,port saint john's,-31.6229,29.5448,23.05,87,78,4.83,ZA,1707887954
446,uliastay,47.7417,96.8444,-13.53,60,0,1.78,MN,1707887955
447,pacific grove,36.6177,-121.9166,9.67,88,0,0.89,US,1707887956
448,lospalos,-8.5186,127.0025,27.81,72,100,3.56,TL,1707887957
449,banyo,6.75,11.8167,19.97,23,100,1.67,CM,1707887958
450,port douglas,-16.4833,145.4667,28.52,75,46,2.9,AU,1707887959
451,walvis bay,-22.9575,14.5053,17.7,87,30,2.39,NA,1707887960
452,urucui,-7.2294,-44.5561,24.58,83,99,0.63,BR,1707887961
453,vila franca do campo,37.7167,-25.4333,15.23,82,100,6.95,PT,1707887962
454,gharghoda,22.1667,83.35,27.05,35,94,2.0,IN,1707887963
455,ponot,8.452,123.0222,30.55,70,29,8.23,PH,1707887964
456,detroit lakes,46.8172,-95.8453,-0.34,87,100,2.57,US,1707887694
457,khash,28.2211,61.2158,13.17,36,0,0.42,IR,1707887966
458,dunedin,-45.8742,170.5036,23.22,59,0,1.79,NZ,1707887919
459,fuyu,45.1833,124.8167,-3.07,46,70,5.62,CN,1707887968
460,itamaraju,-17.0392,-39.5311,22.12,97,49,1.09,BR,1707887969
461,ko lanta,7.5336,99.0865,29.61,68,18,3.33,TH,1707887970
462,taltal,-25.4,-70.4833,19.17,85,22,0.23,CL,1707887971
463,el porvenir,13.7617,-87.3458,23.63,76,51,3.08,HN,1707887972
464,kirensk,57.7853,108.1119,-15.14,84,100,3.93,RU,1707887973
465,cill airne,52.05,-9.5167,11.0,98,100,2.67,IE,1707887974
466,athens,37.9795,23.7162,11.93,63,20,2.57,GR,1707887975
467,constitucion,-35.3333,-72.4167,14.7,94,10,2.69,CL,1707887976
468,ta'if,21.2703,40.4158,15.56,75,1,6.45,SA,1707887977
469,balykshi,47.0667,51.8667,1.0,93,100,5.0,KZ,1707887978
470,divo,5.8397,-5.36,24.38,99,36,1.3,CI,1707887980
471,hell-ville,-13.4,48.2667,27.31,80,72,1.73,MG,1707887981
472,noyabrsk,63.1994,75.4507,-30.98,95,84,8.94,RU,1707887982
473,andergrove,-21.0833,149.1833,28.69,77,47,4.58,AU,1707887983
474,acarau,-2.8856,-40.12,25.23,89,100,3.01,BR,1707887984
475,novyy urengoy,66.0833,76.6333,-33.28,97,9,4.82,RU,1707887688
476,lodja,-3.4833,23.4333,21.23,98,100,0.69,CD,1707887986
477,vilyuchinsk,52.9306,158.4028,-11.7,76,71,0.24,RU,1707887987
478,angus,44.3168,-79.8829,-7.26,67,82,4.12,CA,1707887988
479,island harbour,50.724,-1.2758,11.23,95,100,4.02,GB,1707887989
480,puerto carreno,6.189,-67.4859,27.85,57,74,2.13,CO,1707887990
481,sooke,48.3746,-123.7276,5.04,76,2,3.6,CA,1707887991
482,enshi,30.3,109.4833,15.57,78,89,0.13,CN,1707887992
483,ca mau,9.1769,105.15,34.58,40,21,7.1,VN,1707887857
484,chegdomyn,51.1167,133.0167,-10.69,78,92,1.64,RU,1707887994
485,caranan,13.5167,123.0156,29.82,60,40,1.75,PH,1707887995
486,carlos chagas,-17.7031,-40.7664,22.3,95,15,0.7,BR,1707887996
487,muli,2.9167,73.5667,28.06,81,94,7.44,MV,1707887997
488,novyye burasy,52.1324,46.0714,-7.97,84,100,5.16,RU,1707887999
489,mancio lima,-7.6142,-72.8958,22.38,99,100,0.48,BR,1707888000
490,nadym,65.5333,72.5167,-33.08,91,6,5.56,RU,1707887764
491,kokemaki,61.2565,22.3564,-7.12,95,100,4.09,FI,1707888002
492,portland,45.5234,-122.6762,3.35,92,0,2.06,US,1707887666
493,oyskhara,43.2633,46.2494,3.19,51,100,2.04,RU,1707887991
494,ballina,-28.8667,153.5667,31.55,65,9,5.21,AU,1707888005
495,berdigestyakh,62.0989,126.6992,-23.59,88,100,3.12,RU,1707888006
496,sarandi del yi,-33.35,-55.6333,12.29,75,34,3.04,UY,1707888007
497,lure,47.75,6.5,7.65,76,100,2.06,FR,1707888008
498,pikeville,37.4793,-82.5188,3.61,77,100,2.06,US,1707887791
499,klyuchi,52.2667,79.1667,-5.08,93,100,11.17,RU,1707888010
500,broken hill,-31.95,141.4333,27.39,21,0,6.07,AU,1707887957
501,colesberg,-30.72,25.0972,20.27,56,1,3.57,ZA,1707888012
502,mogocha,53.7333,119.7667,-13.31,49,87,3.67,RU,1707888013
503,lincoln city,44.9582,-124.0179,4.26,95,0,6.26,US,1707888014
504,tindouf,27.6711,-8.1474,17.25,27,0,2.57,DZ,1707888016
505,sandnessjoen,66.0217,12.6316,-3.02,54,0,3.09,NO,1707888017
506,key biscayne,25.6937,-80.1628,17.02,84,20,3.09,US,1707888018
